Designator,Mid X,Mid Y,Rotation,Layer
D201,81.2,1.2,90.0,top
D202,84.2,1.2,90.0,top
D203,87.2,1.2,90.0,top
D204,90.2,1.2,90.0,top
D205,93.2,1.2,90.0,top
D206,96.2,1.2,90.0,top
D207,99.2,1.2,90.0,top
D208,102.2,1.2,90.0,top
D209,81.2,-1.8,90.0,top
D21,21.2,-1.8,90.0,top
D210,84.2,-1.8,90.0,top
D211,87.2,-1.8,90.0,top
D212,90.2,-1.8,90.0,top
D213,93.2,-1.8,90.0,top
D214,96.2,-1.8,90.0,top
D215,99.2,-1.8,90.0,top
D216,102.2,-1.8,90.0,top
D217,81.2,-13.8,90.0,top
D218,84.2,-13.8,90.0,top
D219,87.2,-13.8,90.0,top
D22,24.2,-1.8,90.0,top
D220,90.2,-13.8,90.0,top
D221,93.2,-13.8,90.0,top
D222,96.2,-13.8,90.0,top
D223,99.2,-13.8,90.0,top
D224,102.2,-13.8,90.0,top
D225,81.2,-16.8,90.0,top
D226,84.2,-16.8,90.0,top
D227,87.2,-16.8,90.0,top
D228,90.2,-16.8,90.0,top
D229,93.2,-16.8,90.0,top
D23,27.2,-1.8,90.0,top
D230,96.2,-16.8,90.0,top
D231,99.2,-16.8,90.0,top
D232,102.2,-16.8,90.0,top
D233,81.2,-19.8,90.0,top
D234,84.2,-19.8,90.0,top
D235,87.200002,-19.8,90.0,top
D236,90.200001,-19.8,90.0,top
D237,93.200001,-19.8,90.0,top
D238,96.200001,-19.8,90.0,top
D239,99.200002,-19.8,90.0,top
D24,30.2,-1.8,90.0,top
D240,102.2,-19.8,90.0,top
D241,81.2,-10.8,90.0,top
D242,84.2,-10.8,90.0,top
D243,87.2,-10.8,90.0,top
D244,90.2,-10.8,90.0,top
D245,93.2,-10.8,90.0,top
D246,96.2,-10.8,90.0,top
D247,99.2,-10.8,90.0,top
D248,102.2,-10.8,90.0,top
D249,81.2,-7.8,90.0,top
D25,9.2,-13.8,90.0,top
D250,84.2,-7.8,90.0,top
D251,87.2,-7.8,90.0,top
D252,90.2,-7.8,90.0,top
D253,93.2,-7.8,90.0,top
D254,96.2,-7.8,90.0,top
D255,99.2,-7.8,90.0,top
D256,102.2,-7.8,90.0,top
D257,9.2,-28.8,90.0,top
D258,12.2,-28.8,90.0,top
D259,15.2,-28.8,90.0,top
D26,12.2,-13.8,90.0,top
D260,18.2,-28.8,90.0,top
D261,21.2,-28.8,90.0,top
D262,24.2,-28.8,90.0,top
D263,27.2,-28.8,90.0,top
D264,30.2,-28.8,90.0,top
D265,9.2,-22.8,90.0,top
D266,12.2,-22.8,90.0,top
D267,15.2,-22.8,90.0,top
D268,18.2,-22.8,90.0,top
D269,21.2,-22.8,90.0,top
D27,15.2,-13.8,90.0,top
D270,24.2,-22.8,90.0,top
D271,27.2,-22.8,90.0,top
D272,30.2,-22.8,90.0,top
D273,9.2,-25.8,90.0,top
D274,12.2,-25.8,90.0,top
D275,15.2,-25.8,90.0,top
D276,18.2,-25.8,90.0,top
D277,21.2,-25.8,90.0,top
D278,24.2,-25.8,90.0,top
D279,27.2,-25.8,90.0,top
D28,18.2,-13.8,90.0,top
D280,30.2,-25.8,90.0,top
D281,9.2,-37.8,90.0,top
D282,12.2,-37.8,90.0,top
D283,15.2,-37.8,90.0,top
D284,18.2,-37.8,90.0,top
D285,21.2,-37.8,90.0,top
D286,24.2,-37.8,90.0,top
D287,27.2,-37.8,90.0,top
D288,30.2,-37.8,90.0,top
D289,9.2,-40.8,90.0,top
D29,21.2,-13.8,90.0,top
D290,12.2,-40.8,90.0,top
D291,15.2,-40.8,90.0,top
D292,18.2,-40.8,90.0,top
D293,21.2,-40.8,90.0,top
D294,24.2,-40.8,90.0,top
D295,27.2,-40.8,90.0,top
D296,30.2,-40.8,90.0,top
D297,9.2,-43.8,90.0,top
D298,12.2,-43.8,90.0,top
D299,15.200002,-43.8,90.0,top
D3,15.2,-4.8,90.0,top
D30,24.2,-13.8,90.0,top
D300,18.200001,-43.8,90.0,top
D301,21.200001,-43.8,90.0,top
D302,24.200001,-43.8,90.0,top
D303,27.200002,-43.8,90.0,top
D304,30.2,-43.8,90.0,top
D305,9.2,-34.8,90.0,top
D306,12.2,-34.8,90.0,top
D307,15.2,-34.8,90.0,top
D308,18.2,-34.8,90.0,top
D309,21.2,-34.8,90.0,top
D31,27.2,-13.8,90.0,top
D310,24.2,-34.8,90.0,top
D311,27.2,-34.8,90.0,top
D312,30.2,-34.8,90.0,top
D313,9.2,-31.8,90.0,top
D314,12.2,-31.8,90.0,top
D315,15.2,-31.8,90.0,top
D316,18.2,-31.8,90.0,top
D317,21.2,-31.8,90.0,top
D318,24.2,-31.8,90.0,top
D319,27.2,-31.8,90.0,top
D32,30.2,-13.8,90.0,top
D320,30.2,-31.8,90.0,top
D321,33.2,-28.8,90.0,top
D322,36.2,-28.8,90.0,top
D323,39.2,-28.8,90.0,top
D324,42.2,-28.8,90.0,top
D325,45.2,-28.8,90.0,top
D326,48.2,-28.8,90.0,top
D327,51.2,-28.8,90.0,top
D328,54.2,-28.8,90.0,top
D329,33.2,-22.8,90.0,top
D33,9.2,-16.8,90.0,top
D330,36.2,-22.8,90.0,top
D331,39.2,-22.8,90.0,top
D332,42.2,-22.8,90.0,top
D333,45.2,-22.8,90.0,top
D334,48.2,-22.8,90.0,top
D335,51.2,-22.8,90.0,top
D336,54.2,-22.8,90.0,top
D337,33.2,-25.8,90.0,top
D338,36.2,-25.8,90.0,top
D339,39.2,-25.8,90.0,top
D34,12.2,-16.8,90.0,top
D340,42.2,-25.8,90.0,top
D341,45.2,-25.8,90.0,top
D342,48.2,-25.8,90.0,top
D343,51.2,-25.8,90.0,top
D344,54.2,-25.8,90.0,top
D345,33.2,-37.8,90.0,top
D346,36.2,-37.8,90.0,top
D347,39.2,-37.8,90.0,top
D348,42.2,-37.8,90.0,top
D349,45.2,-37.8,90.0,top
D35,15.2,-16.8,90.0,top
D350,48.2,-37.8,90.0,top
D351,51.2,-37.8,90.0,top
D352,54.2,-37.8,90.0,top
D353,33.2,-40.8,90.0,top
D354,36.2,-40.8,90.0,top
D355,39.2,-40.8,90.0,top
D356,42.2,-40.8,90.0,top
D357,45.2,-40.8,90.0,top
D358,48.2,-40.8,90.0,top
D359,51.2,-40.8,90.0,top
D36,18.2,-16.8,90.0,top
D360,54.2,-40.8,90.0,top
D361,33.2,-43.8,90.0,top
D362,36.2,-43.8,90.0,top
D363,39.200002,-43.8,90.0,top
D364,42.200001,-43.8,90.0,top
D365,45.200001,-43.8,90.0,top
D366,48.200001,-43.8,90.0,top
D367,51.200002,-43.8,90.0,top
D368,54.2,-43.8,90.0,top
D369,33.2,-34.8,90.0,top
D37,21.2,-16.8,90.0,top
D370,36.2,-34.8,90.0,top
D371,39.2,-34.8,90.0,top
D372,42.2,-34.8,90.0,top
D373,45.2,-34.8,90.0,top
D374,48.2,-34.8,90.0,top
D375,51.2,-34.8,90.0,top
D376,54.2,-34.8,90.0,top
D377,33.2,-31.8,90.0,top
D378,36.2,-31.8,90.0,top
D379,39.2,-31.8,90.0,top
D38,24.2,-16.8,90.0,top
D380,42.2,-31.8,90.0,top
D381,45.2,-31.8,90.0,top
D382,48.2,-31.8,90.0,top
D383,51.2,-31.8,90.0,top
D384,54.2,-31.8,90.0,top
D385,57.2,-28.8,90.0,top
D386,60.2,-28.8,90.0,top
D387,63.2,-28.8,90.0,top
D388,66.2,-28.8,90.0,top
D389,69.2,-28.8,90.0,top
D39,27.2,-16.8,90.0,top
D390,72.2,-28.8,90.0,top
D391,75.2,-28.8,90.0,top
D392,78.2,-28.8,90.0,top
D393,57.2,-22.8,90.0,top
D394,60.2,-22.8,90.0,top
D395,63.2,-22.8,90.0,top
D396,66.2,-22.8,90.0,top
D397,69.2,-22.8,90.0,top
D398,72.2,-22.8,90.0,top
D399,75.2,-22.8,90.0,top
D4,18.2,-4.8,90.0,top
D40,30.2,-16.8,90.0,top
D400,78.2,-22.8,90.0,top
D401,57.2,-25.8,90.0,top
D402,60.2,-25.8,90.0,top
D403,63.2,-25.8,90.0,top
D404,66.2,-25.8,90.0,top
D405,69.2,-25.8,90.0,top
D406,72.2,-25.8,90.0,top
D407,75.2,-25.8,90.0,top
D408,78.2,-25.8,90.0,top
D409,57.2,-37.8,90.0,top
D41,9.2,-19.8,90.0,top
D410,60.2,-37.8,90.0,top
D411,63.2,-37.8,90.0,top
D412,66.2,-37.8,90.0,top
D413,69.2,-37.8,90.0,top
D414,72.2,-37.8,90.0,top
D415,75.2,-37.8,90.0,top
D416,78.2,-37.8,90.0,top
D417,57.2,-40.8,90.0,top
D418,60.2,-40.8,90.0,top
D419,63.2,-40.8,90.0,top
D42,12.2,-19.8,90.0,top
D420,66.2,-40.8,90.0,top
D421,69.2,-40.8,90.0,top
D422,72.2,-40.8,90.0,top
D423,75.2,-40.8,90.0,top
D424,78.2,-40.8,90.0,top
D425,57.2,-43.8,90.0,top
D426,60.2,-43.8,90.0,top
D427,63.200002,-43.8,90.0,top
D428,66.200001,-43.8,90.0,top
D429,69.200001,-43.8,90.0,top
D43,15.200002,-19.8,90.0,top
D430,72.200001,-43.8,90.0,top
D431,75.200002,-43.8,90.0,top
D432,78.2,-43.8,90.0,top
D433,57.2,-34.8,90.0,top
D434,60.2,-34.8,90.0,top
D435,63.2,-34.8,90.0,top
D436,66.2,-34.8,90.0,top
D437,69.2,-34.8,90.0,top
D438,72.2,-34.8,90.0,top
D439,75.2,-34.8,90.0,top
D44,18.200001,-19.8,90.0,top
D440,78.2,-34.8,90.0,top
D441,57.2,-31.8,90.0,top
D442,60.2,-31.8,90.0,top
D443,63.2,-31.8,90.0,top
D444,66.2,-31.8,90.0,top
D445,69.2,-31.8,90.0,top
D446,72.2,-31.8,90.0,top
D447,75.2,-31.8,90.0,top
D448,78.2,-31.8,90.0,top
D449,81.2,-28.8,90.0,top
D45,21.200001,-19.8,90.0,top
D450,84.2,-28.8,90.0,top
D451,87.2,-28.8,90.0,top
D452,90.2,-28.8,90.0,top
D453,93.2,-28.8,90.0,top
D454,96.2,-28.8,90.0,top
D455,99.2,-28.8,90.0,top
D456,102.2,-28.8,90.0,top
D457,81.2,-22.8,90.0,top
D458,84.2,-22.8,90.0,top
D459,87.2,-22.8,90.0,top
D46,24.200001,-19.8,90.0,top
D460,90.2,-22.8,90.0,top
D461,93.2,-22.8,90.0,top
D462,96.2,-22.8,90.0,top
D463,99.2,-22.8,90.0,top
D464,102.2,-22.8,90.0,top
D465,81.2,-25.8,90.0,top
D466,84.2,-25.8,90.0,top
D467,87.2,-25.8,90.0,top
D468,90.2,-25.8,90.0,top
D469,93.2,-25.8,90.0,top
D47,27.200002,-19.8,90.0,top
D470,96.2,-25.8,90.0,top
D471,99.2,-25.8,90.0,top
D472,102.2,-25.8,90.0,top
D473,81.2,-37.8,90.0,top
D474,84.2,-37.8,90.0,top
D475,87.2,-37.8,90.0,top
D476,90.2,-37.8,90.0,top
D477,93.2,-37.8,90.0,top
D478,96.2,-37.8,90.0,top
D479,99.2,-37.8,90.0,top
D48,30.2,-19.8,90.0,top
D480,102.2,-37.8,90.0,top
D481,81.2,-40.8,90.0,top
D482,84.2,-40.8,90.0,top
D483,87.2,-40.8,90.0,top
D484,90.2,-40.8,90.0,top
D485,93.2,-40.8,90.0,top
D486,96.2,-40.8,90.0,top
D487,99.2,-40.8,90.0,top
D488,102.2,-40.8,90.0,top
D489,81.2,-43.8,90.0,top
D49,9.2,-10.8,90.0,top
D490,84.2,-43.8,90.0,top
D491,87.200002,-43.8,90.0,top
D492,90.200001,-43.8,90.0,top
D493,93.200001,-43.8,90.0,top
